AL	0.0044423324302904875	4.6
AK	0.004737072956971895	6.3
AZ	0.003916473908971536	4.0
AR	0.004639496271672083	4.2
CA	0.004189888789361677	4.9
CO	0.002997703083278127	2.7
CT	0.0027343663100512228	2.1
DE	0.005452881936771605	3.6
DC	0.012168013249999998	5.7
FL	0.004802213077815674	3.8
GA	0.003723916944173617	3.5
HI	0.002405890371884918	4.2
ID	0.0020078951154703633	4.7
IL	0.004033492895241701	4.4
IN	0.0032969598393345835	3.0
IA	0.002566321168378353	2.7
KS	0.003561905031784385	3.8
KY	0.0022018999862590386	4.1
LA	0.00475670580510532	5.2
ME	0.0012203550095455382	3.3
MD	0.004736866428720508	3.5
MA	0.0039769460544703044	2.8
MI	0.004500576113828	3.6
MN	0.0022756707093124725	3.0
MS	0.002089457533376187	5.3
MO	0.004497225508699469	3.4
MT	0.0025128919929250084	4.8
NE	0.0024532837822402384	2.8
NV	0.005960282939488418	4.1
NH	0.0017408926154405947	2.7
NJ	0.002885382835712257	3.7
NM	0.0055704934268692415	5.0
NY	0.004039259427746613	4.5
NC	0.003430320286476899	3.7
ND	0.0020099724492774204	3.0
OH	0.0029191565534221076	4.1
OK	0.004650223032183579	3.0
OR	0.0024137005367337607	5.2
PA	0.00355187935013287	4.2
RI	0.002525888935182024	4.0
SC	0.005517882383068002	3.7
SD	0.002232277597851081	2.5
TN	0.006329762816563472	3.9
TX	0.004018006069411306	4.4
UT	0.001993193770653131	3.3
VT	0.0013995499737358863	2.8
VA	0.001895790823876718	2.3
WA	0.0028928167433231503	5.1
WV	0.002993036740455264	5.6
WV	0.0029930367404552636	5.6
WI	0.002788403320945054	3.4
WY	0.00186558838992157	3.8
WY	0.00186558838992157	3.8
